ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN SUD OUEST;Grande Rue;E-2 S / H-3 S;P>25675;3,0;0,823;;;04/04/2012;05:57;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN SUD OUEST;Chemin de la Tombelle/Rue de Ham;E-4 S / H-6 S;P>25667;3,0;0,739;;;04/04/2012;06:06;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN SUD OUEST;Rue du Commandant Charcot;E-3 S / H-5 S;P>25672;3,0;0,849;;;04/04/2012;06:32;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN NORD;Rue Fayet (angle R. JY Cousteau);E-3 S / H-3 S;P>25685;3,0;0,734;;;04/04/2012;07:09;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN EST;Rue d'Alembert;E-4 S / H-10 S;P>25708;3,0;0,750;;;04/04/2012;07:36;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN EST;Av R Schuman (SIMPLY MARKET);E-1 S / H-2 S;P>25706;3,0;0,414;;;04/04/2012;07:42;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN EST;Av de la République (face au n° 29);E-2 S / H-2 S;P>25710;3,0;0,907;;;04/04/2012;07:51;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN EST;Av A Briand/Rue Q Barre;E-4 S / H-10 S;P>25691;3,0;0,891;;;04/04/2012;07:58;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN EST;Bd J Bouin (Pompier);E-3 S / H-5 S;P>25690;3,0;0,849;;;04/04/2012;08:14;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;ST QUENTIN SUD EST;Bd du Dr Camille Guérin;E-2 S / H-3 S;P>25651;3,0;0,532;;;04/04/2012;08:47;
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4,0;0,724;;;04/04/2012;08:28;
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Bd de Verdun;E-2 S / H-3 S;P>25654;4,0;0,970;;;04/04/2012;06:22;
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Av des anciens Combattants d'AFN;E-3 S / H-4 S;P>25679;4,0;0,954;;;04/04/2012;07:19;
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4,0;0,771;;;04/04/2012;07:27;
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av du Gle de Gaulle;E-1 S / H-1 S;P>25694;4,0;0,571;;;04/04/2012;08:06;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;CASTRES;Rue du Fort;E-2 S / H-6 S;P>25770;3,0;0,548;;;05/04/2012;08:43;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Georges Herbin;E-3 S / H-4 S;P>25775;3,0;0,580;;;05/04/2012;06:00;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GRUGIES;Rue d'Ile de France dérrière Eglise;E-3 S / H-4 S;P>25784;3,0;0,506;;;05/04/2012;08:33;
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GRUGIES;Route du pont;;P>29784;3,0;0,508;;;05/04/2012;08:53;
ST QUENTIN;;Verre Couleur;2359;GRUGIES;HARLY;Leclerc;E-1 S / H-1 S;P>26751;3,0;0,738;;;05/04/2012;06:44;
ST QUENTIN;;Verre Couleur;2359;GRUGIES;HARLY;Rue de Picardie;E-3 S / H-4 S;P>25754;3,0;0,675;;;05/04/2012;06:52;
ST QUENTIN;;Verre Couleur;2371;HARLY;HOMBLIERES;Chemin de Fonsommes;E-3 S / H-8 S;P>25763;3,0;0,685;;;05/04/2012;07:07;
ST QUENTIN;;Verre Couleur;2371;HARLY;LESDINS;Rue de touraine (le long du canal);E-2 S / H-3 S;P>25745;3,0;0,680;;;05/04/2012;07:56;
ST QUENTIN;;Verre Couleur;2371;HARLY;ROUVROY;Route de ST Quentin;E-2 S / H-3 S;P>25769;3,0;0,664;;;05/04/2012;07:29;
ST QUENTIN;;Verre Couleur;2371;HARLY;ST QUENTIN SUD EST;Bd Cordier;E-2 S / H-2 S;P>25650;3,0;0,849;;;05/04/2012;06:08;
ST QUENTIN;;Verre Couleur;2371;HARLY;ST QUENTIN SUD EST;Rue d'Ostende;E-2 S / H-3 S;P>25638;3,0;0,527;;;05/04/2012;06:13;
ST QUENTIN;;Verre Couleur;2371;HARLY;ST QUENTIN SUD EST;Bd du Maréchal Juin (haut);E-2 S / H-2 S;P>25640;3,0;0,722;;;05/04/2012;06:20;
ST QUENTIN;;Verre Couleur;2371;HARLY;ST QUENTIN SUD EST;Chemin d'Itancourt;E-3 S / H-6 S;P>25652;3,0;0,728;;;05/04/2012;06:29;
ST QUENTIN;;Verre Couleur;2371;HARLY;ST QUENTIN SUD EST;Angle rue collette (LIDL) Richepin FND;E-2 S / H-2 S;P>25643;3,0;0,944;;;05/04/2012;06:37;
ST QUENTIN;;Verre Couleur;2371;HARLY;ST QUENTIN EST;Rue Boileau;E-3 S / H-6 S;P>25709;3,0;0,593;;;05/04/2012;07:43;
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Aimé Gosset;E-2 S / H-3 S;P>25761;4,0;0,696;;;05/04/2012;07:15;
ST QUENTIN;;Verre Couleur;2420;LESDINS;LESDINS;Rue de Picardie;E-2 S / H-3 S;P>25744;4,0;0,859;;;05/04/2012;08:02;
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de la Fère (NETTO);E-1 S / H-2 S;P>25648;4,0;0,765;;;05/04/2012;05:50;
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4,0;1,064;;;10/04/2012;12:04;
ST QUENTIN;;Verre Couleur;2371;HARLY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3,0;0,601;;;10/04/2012;10:05;
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3,0;0,345;;;10/04/2012;12:05;
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3,0;0,340;;;10/04/2012;12:06;
ST QUENTIN;;Verre Couleur;2371;HARLY;ST QUENTIN SUD EST;Place Carnot;4 sem;P>25635;3,0;0,407;;;10/04/2012;11:23;
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;ST QUENTIN SUD EST;Av Léo Lagrange;2 sem;P>25634;3,0;0,346;;;10/04/2012;11:28;
ST QUENTIN;;Verre Couleur;2420;LESDINS;ST QUENTIIN SUD EST;Rue Charles Foucault;3 sem;P>25636;3,0;0,546;;;10/04/2012;11:38;
ST QUENTIN;;Verre Couleur;2420;LESDINS;ST QUENTIN;Parking rue Leon Lemaire;1 sem;P>29127;3,0;0,822;;;10/04/2012;11:52;
ST QUENTIN;;Verre Couleur;2459;MARCY;ST QUENTIN;Parking rue Leon Lemaire;1 sem;P>29128;3,0;0,811;;;10/04/2012;11:53;
