ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Rue de Picardie;114;P>25754;3;0,958;;;14/02/2013;06:33
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;117;P>25757;4;0,992;;;21/02/2013;07:25
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;117;P>25758;4;1,073;;;21/02/2013;07:27
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;117;P>25759;4;0,715;;;21/02/2013;07:28
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;117;P>25757;4;0,344;;;25/02/2013;13:15
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;117;P>25757;4;0,569;;;27/02/2013;11:30
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;117;P>25758;4;0,643;;;27/02/2013;11:31
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;117;P>25759;4;0,239;;;27/02/2013;11:32
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Chemin de Fonsommes;150;P>25763;3;0,665;;;06/02/2013;10:06
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Aimé Gosset;120;P>25761;4;0,764;;;06/02/2013;10:15
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Sainte Huneguonde;121;P>25762;4;0,895;;;07/02/2013;09:45
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Aimé Gosset;120;P>25761;4;0,949;;;27/02/2013;12:20
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Sainte Huneguonde;121;P>25762;4;0,469;;;27/02/2013;12:30
ST QUENTIN;;Verre Couleur;2420;LESDINS;LESDINS;Rue de touraine (le long du canal);187;P>25745;3;0,801;;;14/02/2013;08:25
ST QUENTIN;;Verre Couleur;2420;LESDINS;LESDINS;Rue de Picardie;125;P>25744;4;0,86;;;14/02/2013;08:30
ST QUENTIN;;Verre Couleur;2459;MARCY;MARCY;Rue Florent Montigny Mairie;137;P>25764;3;0,837;;;07/02/2013;08:52
ST QUENTIN;;Verre Couleur;2481;MESNIL ST LAURENT;MESNILS ST LAURENT;Rue du Cheval Blanc;124;P>25768;3;0,831;;;06/02/2013;10:25
ST QUENTIN;;Verre Couleur;2481;MESNIL ST LAURENT;MESNIL ST LAURENT;Rue Sainte Camione;123;P>25767;3;1,067;;;06/02/2013;10:33
