ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Route du pont;;P>29784;3;0,99;;;12/01/2012;11:46
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Rue de Picardie;E-3 S / H-4 S;P>25754;3;0,842;;;11/01/2012;14:16
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,77;;;04/01/2012;10:19
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,927;;;11/01/2012;14:06
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,673;;;18/01/2012;10:28
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;1,018;;;25/01/2012;10:16
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;1,238;;;04/01/2012;10:21
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;1,247;;;11/01/2012;14:07
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;1,073;;;18/01/2012;10:30
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;1,042;;;25/01/2012;10:18
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,879;;;04/01/2012;10:17
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,933;;;11/01/2012;14:04
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,597;;;18/01/2012;10:25
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,794;;;25/01/2012;10:15
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue de Bellevue (salle polyvalente);E-3 S / H-4 S;P>25760;4;0,848;;;26/01/2012;09:04
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Aimé Gosset;E-2 S / H-3 S;P>25761;4;1,061;;;12/01/2012;10:18
