ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,769;;;14/05/2012;10:30
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,687;;;21/05/2012;15:00
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,687;;;29/05/2012;07:48
ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Rue d'Ile de France dérrière Eglise;E-3 S / H-4 S;P>25784;3;0,838;;;10/05/2012;16:16
ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Route du pont;E-2 S / H-3 S;P>25785;4;0,921;;;10/05/2012;16:09
ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Route du pont;;P>29784;3;1,285;;;10/05/2012;16:11
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Rue de Picardie;E-3 S / H-4 S;P>25754;3;0,482;;;18/05/2012;09:50
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Rue du Marais;E-4 S / H-6 S;P>25755;4;1,277;;;31/05/2012;05:50
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,96;;;03/05/2012;10:44
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;1,097;;;10/05/2012;15:36
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;1,059;;;18/05/2012;09:39
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,388;;;23/05/2012;08:36
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,662;;;29/05/2012;09:40
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;1,329;;;31/05/2012;05:41
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,73;;;03/05/2012;10:45
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,678;;;10/05/2012;15:37
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,738;;;18/05/2012;09:41
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,98;;;31/05/2012;05:38
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,739;;;03/05/2012;10:46
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,833;;;10/05/2012;15:33
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,562;;;18/05/2012;09:37
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,775;;;23/05/2012;08:34
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,971;;;31/05/2012;05:39
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue de Bellevue (salle polyvalente);E-3 S / H-4 S;P>25760;4;1,296;;;31/05/2012;06:35
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Aimé Gosset;E-2 S / H-3 S;P>25761;4;0,976;;;03/05/2012;11:02
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Aimé Gosset;E-2 S / H-3 S;P>25761;4;1,309;;;31/05/2012;06:27
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Sainte Huneguonde;E-2 S / H-3 S;P>25762;4;0,94;;;03/05/2012;11:13
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Rue Sainte Huneguonde;E-2 S / H-3 S;P>25762;4;1,296;;;31/05/2012;06:14
ST QUENTIN;;Verre Couleur;2383;HOMBLIERES;HOMBLIERES;Chemin de Fonsommes;E-3 S / H-8 S;P>25763;3;0,989;;;31/05/2012;06:22
ST QUENTIN;;Verre Couleur;2420;LESDINS;LESDINS;Rue de Picardie;E-2 S / H-3 S;P>25744;4;1,015;;;23/05/2012;07:06
ST QUENTIN;;Verre Couleur;2420;LESDINS;LESDINS;Rue de touraine (le long du canal);E-2 S / H-3 S;P>25745;3;0,829;;;23/05/2012;07:01
ST QUENTIN;;Verre Couleur;2459;MARCY;MARCY;Rue Florent Montigny Mairie;E-2 S / H-3 S;P>25764;3;0,768;;;15/05/2012;15:22
ST QUENTIN;;Verre Couleur;2481;MESNIL ST LAURENT;MESNIL ST LAURENT;Rue Sainte Camione;E-2 S / H-3 S;P>25767;3;1,03;;;15/05/2012;15:38
ST QUENTIN;;Verre Couleur;2481;MESNIL ST LAURENT;MESNILS ST LAURENT;Rue du Cheval Blanc;E-3 S / H-6 S;P>25768;3;1,106;;;15/05/2012;15:32
ST QUENTIN;;Verre Couleur;2525;MORCOURT;MORCOURT;Rue du Commandant Guy (terrain de foot);E-2 S / H-3 S;P>25746;3;1,048;;;11/05/2012;06:34
ST QUENTIN;;Verre Couleur;2549;NEUVILLE ST AMAND;NEUVILLE ST AMAND;Place de la Mairie;E-2 S / H-2 S;P>25788;3;1,005;;;07/05/2012;16:25
ST QUENTIN;;Verre Couleur;2549;NEUVILLE ST AMAND;NEUVILLE ST AMAND;Place de la Mairie;E-2 S / H-2 S;P>25788;3;1,222;;;29/05/2012;06:28
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Rue du Fossé;E-3 S / H-5 S;P>25748;3;0,791;;;23/05/2012;07:15
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;E-1 S / H-1 S impératif;P>25750;4;0,996;;;03/05/2012;10:31
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;E-1 S / H-1 S impératif;P>25750;4;1,077;;;15/05/2012;14:48
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;E-1 S / H-1 S impératif;P>25750;4;1,064;;;29/05/2012;09:15
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;;P>31032;3;1,109;;;15/05/2012;14:50
ST QUENTIN;;Verre Couleur;2637;REMAUCOURT;REMAUCOURT;Rue de l'église;E-2 S / H-3 S;P>25753;3;1,009;;;11/05/2012;06:25
ST QUENTIN;;Verre Couleur;2659;ROUVROY;ROUVROY;Route de ST Quentin;E-2 S / H-3 S;P>25769;3;0,993;;;11/05/2012;06:07
ST QUENTIN;;Verre Couleur;2659;ROUVROY;ROUVROY;Route de ST Quentin;E-2 S / H-3 S;P>25769;3;0,966;;;31/05/2012;06:02
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Av Léo Lagrange;2 sem;P>25634;3;0,374;;;02/05/2012;14:40
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Av Léo Lagrange;2 sem;P>25634;3;0,346;;;14/05/2012;12:22
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Place Carnot;4 sem;P>25635;3;0,409;;;02/05/2012;14:25
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Place Carnot;4 sem;P>25635;3;0,342;;;29/05/2012;09:33
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIIN SUD EST;Rue Charles Foucault;3 sem;P>25636;3;0,606;;;02/05/2012;14:32
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIIN SUD EST;Rue Charles Foucault;3 sem;P>25636;3;0,683;;;29/05/2012;10:41
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de la Fère (face n°22);E-3 S / H-5 S;P>25637;4;1,03;;;31/05/2012;08:12
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue d'Ostende;E-2 S / H-3 S;P>25638;3;0,579;;;03/05/2012;07:59
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue d'Ostende;E-2 S / H-3 S;P>25638;3;0,657;;;18/05/2012;08:41
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue d'Ostende;E-2 S / H-3 S;P>25638;3;0,785;;;29/05/2012;06:50
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd du Maréchal Juin (bas);E-3 S / H-3 S;P>25639;4;0,996;;;29/05/2012;06:40
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd du Maréchal Juin (haut);E-2 S / H-2 S;P>25640;3;0,57;;;03/05/2012;08:06
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd du Maréchal Juin (haut);E-2 S / H-2 S;P>25640;3;0,768;;;18/05/2012;08:36
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd du Maréchal Juin (haut);E-2 S / H-2 S;P>25640;3;0,769;;;29/05/2012;06:45
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de la Fère (friterie);E-4 S / H-6 S;P>25641;3;0,639;;;03/05/2012;08:16
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de Guise;E-3 S / H-4 S;P>25642;3;0,586;;;03/05/2012;08:31
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de Guise;E-3 S / H-4 S;P>25642;3;0,774;;;10/05/2012;08:55
