1961,795;"ST QUENTIN"
365,524;GAUCHY
199,728;HARLY
109,2;FAYET
87,826;OMISSY
58,547;HOMBLIERES
40,41;GRUGIES
38,94;LESDINS
35,148;"NEUVILLE ST AMAND"
29,971;ROUVROY
27,223;FONSOMMES
24,928;"FONTAINE NOTRE DAME"
23,284;"MESNIL ST LAURENT"
17,964;MORCOURT
16,941;"ESSIGNY LE PETIT"
15,045;REMAUCOURT
14,526;FIEULAINE
12,72;MARCY
11,067;CASTRES
5,271;CONTESCOURT
